p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.408921070383908e-182	1.5632521153409455	0.539	0.053	7.445785903664343e-178	8	Hectd1
2.7682486567352647e-181	1.5967942218000521	0.3	0.015	4.675018331494515e-177	8	Hgsnat
4.5312730251307264e-181	1.5664385535715752	0.461	0.039	7.652413884840771e-177	8	Rybp
5.856613032421833e-181	0.7506418086457056	0.309	0.016	9.890648089153991e-177	8	Cfp
7.130990069329588e-181	1.68286157316566	0.641	0.072	1.2042816029083808e-176	8	Cd24a
2.129994382491086e-180	0.8246875906332154	0.304	0.016	3.5971345131509464e-176	8	Tmem120a
2.1721609070196752e-180	1.468595271075992	0.502	0.046	3.668345339774828e-176	8	Slc6a6
3.178968545229794e-180	1.9448232416106361	0.7	0.09	5.368642079184076e-176	8	Pnrc1
3.932723874164488e-180	1.495114712961191	0.507	0.046	6.641584078688987e-176	8	Csf2rb
4.558744768120358e-180	1.388418285829339	0.382	0.026	7.69880816440166e-176	8	Znrf1
1.9890196583386452e-179	0.9452818237632719	0.535	0.052	3.359056399002304e-175	8	Hnrnph2
2.377659881205834e-178	1.2694074831872182	0.387	0.027	4.015392007380412e-174	8	Plbd1
1.0323733241551366e-177	1.296210439598828	0.419	0.032	1.7434720698331947e-173	8	Cdk2ap2
1.7641247871427027e-177	0.8053235487971855	0.29	0.015	2.9792539405265962e-173	8	Elmo1
8.721600852473836e-177	1.5815071490552488	0.585	0.063	1.4729039519657815e-172	8	Plaur
1.0646466653422217e-175	0.8493436519699137	0.364	0.025	1.797975288429944e-171	8	Zswim4
4.292634862862061e-175	1.5141036319434147	0.323	0.019	7.249401756401448e-171	8	Cd274
5.185941438035847e-175	1.1120303455876526	0.313	0.018	8.758017900554938e-171	8	Ly96
1.3234850275882629e-174	3.9078987400774996	0.935	0.244	2.2351015145910582e-170	8	Cxcl2
2.4721788516500534e-174	1.0405080359373162	0.355	0.023	4.17501564466661e-170	8	Chd2
3.527615337364616e-174	1.4969259010639187	0.41	0.032	5.957436781741364e-170	8	Tgm2
7.425055802875098e-174	1.3228163684153855	0.567	0.06	1.2539434239895465e-169	8	Ndel1
4.295408119080759e-173	0.83477074216956	0.323	0.019	7.254085231503585e-169	8	Slc9a3r1
5.051243463870964e-173	2.177170189209054	0.447	0.039	8.530539961785284e-169	8	Gclm
2.0682053113722978e-172	1.167803416067808	0.3	0.016	3.4927851298455365e-168	8	Ralgapa1
2.7367844723604495e-172	1.4969464923601827	0.571	0.061	4.621881616922327e-168	8	Vps37b
4.209934707563887e-172	1.6315530957434312	0.35	0.023	7.109737734133893e-168	8	Irak3
4.6055753641197055e-172	1.0877946392288123	0.332	0.02	7.777895674925359e-168	8	Slc25a37
4.679643465167172e-172	1.997947507754886	0.696	0.092	7.90298188397432e-168	8	Ets2
5.577990950439132e-172	2.267664124801512	0.7	0.094	9.420111117101607e-168	8	Nfkbiz
1.5290499942049021e-171	1.2503569670695005	0.539	0.056	2.5822596302132386e-167	8	Adipor1
1.0406539726481907e-170	1.002876870938527	0.295	0.016	1.7574564290082646e-166	8	Zfp263
2.363071345737095e-168	1.3309353070864778	0.35	0.023	3.990754888680806e-164	8	Cxcr4
1.3090949183811505e-166	1.189038053147911	0.401	0.032	2.210799498162087e-162	8	Osbpl9
3.323484805596003e-166	1.3000611937078812	0.507	0.051	5.61270113969053e-162	8	Kpna4
1.000490708963867e-165	1.0431243797027052	0.493	0.048	1.6896287092981786e-161	8	Ostf1
1.8605950524513973e-165	1.4905041750177406	0.456	0.042	3.14217292457992e-161	8	Pgd
9.45279821679081e-164	1.4832828108769125	0.378	0.029	1.596388562851632e-159	8	Lpin2
2.882916144289005e-163	1.321381363129686	0.535	0.057	4.868668784475271e-159	8	Mapkapk2
1.4054650391328631e-162	1.467231295925981	0.355	0.025	2.373549358087579e-158	8	Isy1
1.670878849837838e-162	1.377428932377249	0.608	0.074	2.821780201606141e-158	8	Nfe2l2
2.2319085173944626e-162	0.9341713101526619	0.355	0.025	3.769247104175768e-158	8	Arrdc4
3.749934403545191e-162	0.7016383625070423	0.382	0.029	6.332889220707119e-158	8	Cyth1
4.806095615550815e-161	1.1843491213126214	0.364	0.027	8.116534275542217e-157	8	Fbxl5
5.815556181173962e-161	1.2126515469486563	0.488	0.048	9.821311278766586e-157	8	Stk17b
1.1041177674969046e-160	1.3459839959466127	0.576	0.066	1.8646340857487724e-156	8	Trib1
4.001416382233547e-160	0.9170823187790478	0.396	0.032	6.757591986316014e-156	8	Nadk
1.213627706101455e-159	1.0049687840020993	0.622	0.077	2.0495744700641375e-155	8	Chmp4b
1.587246407729969e-159	1.3612985256659447	0.401	0.033	2.6805417333743717e-155	8	N4bp1
1.7118888576332942e-159	1.0768454907757605	0.406	0.034	2.891037902771107e-155	8	Pdlim7
2.7608913163228655e-159	1.1521774254154729	0.429	0.038	4.662593255006055e-155	8	Msl2
3.5418754131543227e-159	1.8756937353215735	0.631	0.082	5.98151919773502e-155	8	Esd
1.4617617473379018e-158	0.6940355217768744	0.355	0.025	2.4686232389042485e-154	8	Gk
1.531631225466213e-158	1.2437992935757487	0.484	0.049	2.5866188135673405e-154	8	Eea1
1.884039275138402e-158	0.8049581091858549	0.286	0.016	3.1817655278537335e-154	8	Plk3
3.415737520270624e-158	0.9651166633021406	0.484	0.048	5.76849752423303e-154	8	Nab1
8.809114890335149e-158	1.055789435368374	0.3	0.018	1.4876833226797999e-153	8	Braf
4.0518440346852985e-157	2.0980594397155055	0.53	0.06	6.842754205776532e-153	8	Gadd45b
1.8290119789673933e-156	0.757166466239262	0.336	0.024	3.088835430080134e-152	8	Heca
3.1968500161009646e-156	1.7011032851270111	0.687	0.097	5.398840307191309e-152	8	Arpc3
1.5666332060915426e-155	0.9605815921296172	0.53	0.058	2.645730158447397e-151	8	Clk1
3.9251168820964014e-155	1.0874062947874839	0.392	0.033	6.628737390484402e-151	8	Tbc1d15
1.924174111472464e-153	1.3071125348215638	0.502	0.053	3.2495452394546973e-149	8	Vasp
9.297542716062682e-153	0.993698580608797	0.29	0.018	1.5701690138886658e-148	8	Hdac4
1.4488549244873334e-152	0.9856807190995576	0.382	0.031	2.4468261964742085e-148	8	Smim3
1.7521021369560098e-152	0.7831760656466906	0.447	0.042	2.9589500888913096e-148	8	Tes
2.9199116637097296e-152	0.9252967833868213	0.387	0.032	4.931146817672991e-148	8	Ep300
4.226807975400601e-152	1.5414886016742768	0.359	0.028	7.138233308856534e-148	8	Abcc1
4.306068782439876e-152	0.947850389768413	0.323	0.022	7.272088959784462e-148	8	Kansl1l
1.5275008684923106e-151	1.7575104082428892	0.318	0.021	2.579643466709814e-147	8	Rilpl2
2.4549361925538784e-151	0.8397266731082549	0.3	0.019	4.14589624198499e-147	8	Rlf
2.4279503382328437e-150	1.2077662598830536	0.396	0.034	4.100322531207627e-146	8	Birc3
7.936317033472504e-150	0.7113697494026283	0.258	0.014	1.3402852206128366e-145	8	Rasip1
2.7284175539063548e-148	1.480620731944835	0.272	0.016	4.607751565037052e-144	8	Slc38a1
