gene_name	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14
Blvrb	0.23973850001198366	0.22221201941301333	0.6076501257282296	0.6728170750003182	0.15920616958732364	0.25206603837552066	0.3015351780462703	0.2538983388574521	0.20614148107546293	0.3394921505176158	0.5643854913754504	0.7243604069639744	0	0.37439220520671335	0.2211957739146249
Sertad3	0.02148462291567686	0.14652641965525712	0.14715806692127947	0.25286357609310256	0.08313953159519834	0.13885354704282743	0.16409394032722163	0.004937712231972105	0.12419165701788203	0.005622604127383752	0.14124441635783103	0.13072957626368456	0	0	0
Sertad1	0.7139002783086168	0.6390462869187054	0.6654507770452821	0.953294536311927	0.5393413456390819	0.6996061151252939	0.8141513736343523	0.5835872174675361	0.9387417738376493	0.9331898778370332	0.7033203133700886	0.6808583149982411	0	0.48972512466709184	0.7003865120653825
Prx	0.014381991134321566	0	0.011413694641464097	0.038182485870390734	0.1095245292863471	0	0.004729939250475112	0.0017501253181199754	0	0	0.04146427824178769	0	0	0	0
Hipk4	0.03245878611640122	0.01722591622486484	0	0	0	0	0	0	0	0	0	0	0	0	0
Pld3	0.2838419462949865	0.19490384667425267	0.6025739690938843	0.9018918256061501	0.3942034210144294	0.17557995240588356	0.4178624625069226	0.010533968021557809	0.027359726379826817	0.33653564095185307	0.5494364883591221	0.8922457344311566	0	0.6136403620536882	0.24166962149347535
2310022A10Rik	0.20368115163944225	0.2165699687382359	0.12241400556380028	0.64655459900246	0.36501366050912554	0.2451545565490823	0.3493886320626723	0.0815009423105673	0.028162980912244433	0.7155938860492341	0.0821916891034828	0.7811370937630802	0	0.011224533195161614	0
Akt2	0.42208802670670853	0.5075526480376651	0.3380378495015484	0.6009490178772585	0.2811546390419837	0.5332216379994379	0.47305920094722	0.3809060374498776	0.3686305884439388	0.13728558020821166	0.5547700126033279	0.6882590191376009	0	0.597946587657996	0.3589933285493763
Map3k10	0.0924902398492996	0.09038493875841487	0.19978384970052876	0.02647688486149315	0.1322380957489295	0.14633125423647173	0.006442823101060051	0.08637067815481038	0	0.04723776700364031	0.13365029497018116	0.065650151372782	0	0	0
Zfp607b	0	0.0037691943503684023	0.026973988732850177	0	0	0	0.003185987048091908	0	0	0.005622604127383752	0.07011879646773238	0.009129315355008518	0	0	0
Zfp60	0.04150237798660682	0.04213178387887402	0.0323172931185797	0	0	0	0.06521044703881802	0.028219293374525525	0	0	0.025634485382394802	0.06362336108883648	0	0	0
Zfp626	0.01400012506907976	0.07980146090319615	0.007912998757325412	0.1422942578481657	0	0	0.07173589558181014	0.036850663937435045	0.018748381436751515	0	0.08016671342753448	0.04897199543267135	0	0.061455717512946595	0
Zfp59	0.014540634819985177	0.02643110628257474	0	0.06566605254926243	0	0	0	0	0	0.013715093560190975	0.024911048793151282	0.01076297629426685	0	0.2553139175497447	0
Zfp607a	0.013567827111186781	0.01731974917619489	0	0.06147033069134012	0	0	0.029913556013410947	0.0032271052982587086	0.010404816779780645	0.22888833527110158	0.004552815193552369	0.029134809877699043	0	0	0
Zfp974	0	0.01731974917619489	0	0	0	0.11226561960419282	0.002190093945595589	0.0032271052982587086	0	0	0.13214262001674337	0.006369022328877157	0	0	0
Zfp780b	0.047219641066278475	0.0275635532016921	0.08082554625193279	0.139568676007391	0	0	0.0022306420825778314	0.1916487350934279	0	0	0.008371233927656515	0.08970277828081112	0	0.03982210418100169	0
Zfp850	0.041042578706541655	0.03158214998488336	0	0	0	0	0.04257295809598028	0.0017235624502633677	0	0.23521570825774993	0.055141366940258105	0	0	0	0
Psmc4	0.6370488846546585	0.6139674759475451	0.47611090291873004	0.5070780163804491	0.6057939753642421	0.6968600193420992	0.6985540258719776	0.539858742810781	0.30133274108176505	0.9409017824158126	0.37274090328504084	0.5071378918907088	0.7628344633948149	0.513243231165914	0.38253004562921095
Fcgbp	0.14659356077919128	0.2400439648041171	0.17624417291272743	0.038067209304490306	0.4093312213347903	0	1.3873278233064799	0.2134993866119897	0.04376874696237995	0.005657243611757706	0.005078367415793877	0	0	0	0
Gm31024	0	0	0	0	0	0	0	0	0	0.00656471864564867	0	0	0	0	0
Fbl	1.0403428113597117	0.9732060812588298	0.7440587394515669	0.984824866991163	0.7759170990083831	0.7956990639102155	0.9261474217417277	1.0410799448347876	0.28231337583160193	1.1417630694780219	0.834913293629591	0.6620323726768692	0.9925909055305553	0.6714643287009308	0
Dyrk1b	0.03500483802650837	0.014817610359262821	0.021121725607341366	0.026103959852472516	0.0879215629822468	0.1500036515155035	0.021724344727160012	0.06713271072275705	0.007644800377979957	0	0.06162458558553371	0.01634708908926392	0	0	0
Gm45011	0	0	0	0	0	0	0	0	0	0.012104340679272683	0	0.006489168053328051	0	0	0
Eid2	0.02864298901257854	0	0.05024448778757663	0.07652087118567955	0	0.13508865670755432	0.07432829920397205	0.12176120457904531	0.0688033934982419	0.005657243611757706	0.09393215488209336	0.0156223123341333	0	0	0
Eid2b	0	0	0.06628024778659133	0.036577922333040594	0	0	0	0.0023958626307575732	0	0	0.047206144124170964	0	0.5157265383579627	0	0
Selenov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dll3	0	0	0	0.06329263757091438	0	0	0	0	0	0	0.020248648288534333	0	0	0	0
Timm50	0.3281695285083373	0.23772436969120353	0.25024653494731025	0.4100804146675274	0.1095245292863471	0.25962516334801855	0.3186850283925836	0.33093434906479513	0	0.1571045401496218	0.16752054524564305	0.07320067581635947	0.4233656383177442	0.49957921313151	0.28505642382040536
