gene_name	gene_expression
Cnppd1	0.48873520711130297
Retreg2	0.30271692700292857
Zfand2b	0.17773199291629777
Abcb6	0.04565726796944862
Atg9a	0.17763021106860488
Ankzf1	0.043857666305104875
Glb1l	0.020445705422756248
Stk16	0.24496664507463606
Tuba4a	1.278634110015809
A630095N17Rik	4.448919637371705e-4
Dnajb2	0.2861955592939638
Ptprn	0.040258461745454735
Dnpep	0.22487959134883845
Des	0.3242425754670723
Speg	0.011882758563448722
Gmppa	0.19327463526982447
Chpf	0.16530683862670037
Obsl1	0.07426752020943127
Tmem198	4.535701850637198e-4
Inha	0.014759746967500641
Stk11ip	0.051617379237432696
Slc4a3	0.018639616556953124
Epha4	0.534466069037265
Pax3	0.006094229919820741
Sgpp2	0.0018791672280375463
Farsb	0.333834241931275
4833412K13Rik	0.017784152008141263
Mogat1	6.653438640338918e-4
Acsl3	0.5651948277316271
Utp14b	0.29094216324153427
Kcne4	0.07741924757840597
Ap1s3	0.05467662378413114
Wdfy1	0.1188245174720847
Mrpl44	0.07302678457484747
Serpine2	0.4228901003885721
Gm37932	6.554292455587473e-4
Cul3	0.9944223909450399
Gm37902	0.01726303263991637
Gm37262	7.634029658134539e-4
Dock10	0.20481754698783053
Gm37645	0.008977608423694428
Gm38062	0.02148787370720722
A630081D01Rik	0.0063949672084647165
Irs1	0.016283125380494208
Rhbdd1	0.07084357550661471
Gm19552	0.0023979245733354213
Col4a4	0.033420749201292066
Col4a3	0.011079103730197352
Mff	0.45716801420900244
Agfg1	0.7224621296305088
A030005L19Rik	0.0022153062749967934
Krtap28-13	1.2278600595582053e-4
Ccl20	0.16072331639507229
Sphkap	0
Pid1	0.17096811071498996
Trip12	1.082893866866349
Gm38374	0.008635181031751184
Gm37738	0.023264863439606164
Fbxo36	0.01823571714403939
Slc16a14	0.008437709852966588
C130026I21Rik	0.006211836201479932
A530032D15Rik	0.007934124833496897
Sp110	0.06156106850553627
Sp140	0.11892512422944862
Sp100	0.2434057782277423
A630001G21Rik	0.014242501763889545
Cab39	0.9234094306040944
Itm2c	0.5803155199180814
Gpr55	0.020526853940570827
Psmd1	0.5830379590654413
Htr2b	0.012220031803027285
Gm37914	0.01556956325760311
Armc9	0.018013464834162652
B3gnt7	0.006471033608302238
Ncl	2.0735759209918494
Ptma	3.1885266273417683
Pde6d	0.059429267310590075
Cops7b	0.056590147093089724
Nppc	0.09221878100885353
Dis3l2	0.0977293891156575
Gm37485	0
Gm38142	0
Gm38021	0.3326362354733168
Gm37967	0.005860288511423596
Gm37447	0.005397400707351759
Ecel1	0.0071674905123406485
Prss56	0.0019295788273971579
Chrng	7.142003166371882e-5
Eif4e2	0.682130358917669
Efhd1	0.04543747049392303
Gigyf2	0.32714007876648477
Kcnj13	5.467717884178714e-5
Snorc	2.34001404319681e-4
Ngef	0.03081106546392563
Neu2	0.5561017743636316
Inpp5d	0.16780026750832036
Atg16l1	0.2512395112021372
Sag	0.023735764488819595
Dgkd	0.2157032944153512
4833421G17Rik	0.0016324905271028582
Gm38365	0.013849236420961128
Usp40	0.06125328108048905
Ugt1a7c	0.03132856618700186
Ugt1a6b	9.776885218497362e-4
Ugt1a6a	0.011570064553265846
Ugt1a5	8.750582195178383e-4
Dnajb3	0.028827262010204874
Ugt1a1	0
Mroh2a	0.005168163359505259
Hjurp	0.1527140660775822
Glrp1	0.005252210040187145
Gm38130	0.007284090708974139
Arl4c	0.8939706144148544
Sh3bp4	0.10359380672320614
Gm38312	1.2395316194844112e-4
Agap1	0.15028682329276954
Gm37297	0.003126881680686937
Gm37521	0.003311103422939401
Iqca	0.009489663725643369
Ackr3	0.637250504899846
Gm35048	0.008116254566789018
Cops8	0.38908219966985247
Col6a3	0.9667227369944645
Gm36970	3.798322506266537e-5
Mlph	0.013835595576156157
Lrrfip1	0.9988007449986906
Rbm44	0.0014238383555222175
Ramp1	0.05424476359065297
